what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1395447830600
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395447866589
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395447904622
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1395447918740
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395447946196
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395447953544
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395448002778
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395448006038
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1395448006865
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1395448007692
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1395448036006
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1395448044726
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1395448070731
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395448088422
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395448092072
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1395448093570
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1395448123678
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1395448137468
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395448146672
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395448150775
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1395448151867
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1395448152912
